totalrx,totaltx
> 1000,> 1000

totalrx,totaltx
584,552
496,276
2504,1884
0,0
248,272
240,0
552,0
1128,2171
520,408
89681,4005242
0,0
316,318
316,318
240,0
1488,1100
256,342
1016,1100
0,0
240,0
0,0
0,0
632,1879
656,89
0,0
66,686
820,66
1063,2415
306,89
1094,548
0,0
0,0
0,0
0,0
0,0
1272,1376
544,272
1200,2221
66,89
496,276
0,0
0,0
540,42
551,1929
66,89
240,0
240,0
248,272
0,0
1520,1314
0,0
632,1945
1152,365
0,0
256,244
590,0
296,956
240,0
590,0
791,1929
248,361
2170,1936
240,0
2992,2058
0,0
872,1945
314,361
552,0
240,0
256,276
0,0
300,42
256,276
256,276
240,0
0,0
256,276
768,828
248,272
415,199
136,1730
656,89
0,0
0,0
722,66
864,2039
66,89
1398,1728
240,0
256,276
0,0
1279,2201
306,89
0,0
0,0
1008,828
560,548
800,272
240,0
512,552
632,1879
366,131
0,0
0,0
240,0
0,0
791,1929
546,89
0,0
1768,1652
590,0
240,0
256,276
240,0
846,244
0,0
132,66
830,0
30830,25384
1416,3174
40848,27721
650,552
3008,2653
132,258
0,0
0,0
98,0
312,0
248,272
316,318
0,0
0,0
256,276
256,276
0,0
132,66
1227,2205
894,917
240,0
240,0
1702,2311
480,0
306,89
590,0
0,0
240,0
590,0
752,552
0,0
618,1942
0,0
0,0
0,0
488,272
632,1879
1385,2846
866,637
552,0
0,0
1060,866
0,0
0,0
0,0
240,0
0,0
240,0
240,0
0,0
0,0
1870,1380
0,0
248,272
1842,2381
306,89
1047,2173
656,89
240,0
240,0
240,0
0,0
362,1862
824,552
2760,2160
632,1879
314,361
240,168
480,0
312,0
240,0
496,276
380,338
240,0
256,276
1039,2299
0,89
306,0
256,276
1008,828
590,0
0,0
632,1945
66,89
838,272
0,0
240,0
830,0
240,0
927,619
376,1796
562,365
240,0
362,2086
0,0
240,0
932,1987
1322,1189
3600,3184
312,0
0,0
512,552
0,0
248,272
0,0
240,0
132,66
0,0
1279,2222
90470,4053939
830,0
512,552
0,0
830,0
256,276
504,548
846,244
0,0
0,0
0,0
551,1863
66,89
0,0
716,2706
3050,2268
0,0
0,0
248,272
632,1879
476,89
480,0
807,2205
66,89
248,272
256,276
256,276
240,0
66,446
512,552
1342,552
0,0
0,0
590,0
240,0
0,0
1210,338
864,2039
66,89
0,0
512,552
0,0
256,276
551,1929
66,89
422,2544
0,0
256,276
1008,828
1184,2423
1005,575
0,0
1139,1038
0,0
0,0
248,272
0,0
0,0
551,1863
656,89
0,0
0,0
1478,2155
66,89
0,0
256,276
846,276
504,516
0,0
791,1929
306,89
240,0
0,0
72,0
812,594
2892,4792
230,66
0,0
0,0
248,272
312,0
0,0
888,2221
66,89
0,0
504,548
807,2205
126,131
240,0
1102,552
752,552
379008,281132
590,0
0,0
0,0
590,0
