totalrx,totaltx
> 1000,> 1000

totalrx,totaltx
656,134
66,134
1090,1110
904,406
66,134
70034,49282
320069,26516
3878895,96086
66,134
66,134
66,134
66,134
132,572
40591,1787613
54012,2294713
570,682
66,134
306,134
306,134
126,176
66,134
132,236
1682219,68938
2559527,50976
66,134
66,134
378,134
66,134
362,1022
656,134
66,134
66,134
4200,3186
132,638
132,236
141559,4160066
66,150
306,134
314,406
306,134
66,134
66,134
66,134
66,134
4081607,136503
207274,5372
66,134
66,134
306,134
198,176
3364,2728
132,236
96649,4175528
66,134
66,134
66,134
4326589,115917
66,150
656,134
362,1294
66,134
66,134
2168,1382
66,134
306,134
65016,45306
66,134
66,134
66,134
428,908
132,236
97441,4209572
66,134
66,134
66,134
322,410
4366399,140767
306,150
66,134
126,176
306,134
66,134
66,134
380,844
66,134
98167,4246306
378,134
66,134
656,134
66,134
66,134
656,134
66,134
66,134
4401059,129233
50906,35984
66,134
372,572
380,508
81709,4273551
2268,2334
66,134
66,134
66,134
610,778
306,134
66,134
306,134
126,176
138,134
722199,55228
3714445,74012
66,134
66,134
66,134
66,134
866,406
754,572
198,236
41359,1815599
59594,2498211
66,134
1090,1110
656,134
3289815,104970
1239600,71144
66,134
66,134
306,134
428,1972
306,134
66,134
66,134
554,406
66,134
322,410
4474504,129437
66,150
132,572
33129,1446291
66858,2842425
5346,134
9666,134
5106,134
14766,134
19686,134
6248,134
25746,134
18546,134
896,134
66,134
28634,406
66,134
1993257,79585
2481692,50704
49394,34912
66,134
132,572
66,134
97441,4309310
66,134
66,134
66,134
66,134
428,2296
66,134
126,176
66,134
554,406
138,134
2570,2018
66,134
66,134
3696161,114024
799072,16622
132,572
1034,236
100345,4332473
66,150
896,134
66,134
66,134
1680,1110
66,134
66,134
65698,46264
314,406
66,134
66,134
66,134
132,572
61579,2712619
38766,1621511
66,134
4481526,144920
382,468
66,134
306,134
132,236
428,2612
306,134
66,134
66,134
554,406
66,134
656,134
378,134
66,134
656,134
4020257,115688
475097,11816
20589,890637
80586,3443090
306,134
66,134
49394,34912
66,134
306,134
66,134
66,134
66,134
314,406
132,572
100519,4333701
126,192
66,134
4481022,127780
66,150
66,134
138,134
2932,4772
66,134
66,134
66,134
904,406
164,134
378,134
656,134
372,572
132,236
99449,4337163
1018049,59257
3487994,69276
306,134
66,134
64482,45668
66,134
66,134
66,134
66,134
306,134
66,134
620,844
66,134
68701,3033985
32200,1299530
306,134
66,134
4518446,127571
486,777
66,134
306,134
306,134
66,134
656,134
428,3200
444,572
23031,996711
78564,3361682
314,406
896,134
66,134
66,134
306,134
66,134
51634,36240
66,134
546,134
66,134
306,134
4542556,137597
101269,4373702
66,150
126,176
306,134
306,134
306,134
314,406
138,134
602,626
2570,2018
306,134
66,134
896,134
66,134
306,134
1034,572
372,236
4601800,3503800
