totalrx,totaltx
> 1000,> 1000

totalrx,totaltx
611,465
13446,4701
10132,236402
25813,977064
24582,969839
1082,642
0,0
928,362
1106,1142
1766,1524
680,90
8636,121722
248,272
512,486
3610,2660
156,222
330,90
720,0
248,272
492,180
480,0
240,0
0,0
1248,796
240,0
0,0
480,0
240,0
0,0
480,0
488,272
72,46
540,42
3644519,91825
21513,969867
240,0
90,90
1393,1872
842,977
240,0
8800,5216
480,0
338,362
684,4664
1789,4015
792,335
908,708
570,90
248,272
1543,2580
1094,2100
306,0
240,0
6633,18073
66,89
0,0
480,0
0,0
0,0
23671,972080
314,338
240,0
300,42
1459,1872
306,89
1300,2564
746,89
695,2027
874,362
3150,2496
629,1938
306,89
704,2101
1590,6380
240,0
785,2117
570,90
728,272
548,1922
558,269
1109,1938
156,179
90,90
1496,1068
614,2011
306,66
1175,2027
0,0
878,2012
612,155
3795,4682
684,155
1070,0
4126,4723
496,276
2013,2345
90,90
0,0
2111,2137
19824,973343
0,0
570,90
0,0
19849,978258
866,1506
156,156
512,552
1349,1938
796,2217
890,641
570,90
180,180
785,2117
5300,14034
248,272
614,2011
720,0
785,2117
0,0
796,318
0,0
1871,2121
22638,969566
240,0
830,0
992,552
248,272
21374,970603
1630,548
1520,1248
306,66
480,0
0,0
2158,3260
23436,969698
608,1984
156,156
1415,1961
0,0
1174,2283
720,0
7810,121488
510,270
1637,2734
156,179
796,2194
546,89
785,2117
0,0
2162,3219
546,66
662,0
240,46
4637,4926
1444,2100
546,0
0,0
838,272
480,0
935,2027
704,2101
480,0
0,0
804,2198
935,2027
742,545
798,2372
0,0
614,2011
1064,552
488,272
695,2027
944,2101
5342,16618
869,1938
680,2077
1064,631
240,0
556,318
1001,2093
656,66
156,156
8481,974725
1070,0
512,552
548,1922
1219,1961
306,89
1048,820
2902,4021
0,0
0,0
35315,1023253
1280,1248
0,0
66,66
0,0
1411,4352
614,1945
558,269
240,0
248,272
41468,1013371
354,244
0,0
638,1946
156,179
398,404
629,1938
1840,2190
0,0
72,0
830,0
3618,3078
1243,3949
3936,2725
0,0
0,0
869,1938
928,2372
306,112
240,0
256,276
548,1922
612,155
1363,2735
66,66
702,2494
800,156
1609,2669
1094,2011
488,272
90,90
5929,15972
614,2011
156,179
540,42
488,272
23257,971420
1250,180
306,66
867,2077
1160,90
629,1961
512,552
1070,0
90,90
1825,2393
22877,968986
2296,2216
240,0
480,0
22737,972479
256,276
992,486
0,0
548,1922
1058,731
692,2668
1121,2141
1094,2011
90,90
760,792
480,0
0,0
845,2225
1350,2198
66,89
1168,362
546,66
649,289
864,1894
1184,2101
3618,3078
590,0
4916,277847
29956,754715
0,0
0,0
957,2101
248,272
733,133
458,2170
614,2011
720,0
578,618
0,0
720,0
4431,32115
27994,998122
480,0
90,90
2528,5848
4097,10613
704,2035
90,90
480,0
590,0
1125,2303
1604,2520
656,0
330,90
1041,486
1897,2431
1095,709
382,2074
0,0
1348,2470
2114,2033
0,66
90,90
943,2299
668,409
202,1878
1180,4940
695,2004
1192,2652
240,0
240,0
312,0
0,0
90,90
1995,4469
546,311
428,3262
0,0
6596,979246
90,90
488,272
973,2520
962,155
635,1872
546,89
3688,2160
248,272
570,90
6252,5684
785,2117
330,136
0,0
90,90
548,1922
951,2303
66,89
734,4454
752,552
943,2299
480,0
1366,2563
1181,1938
786,89
60,42
4856,15536
21463,973428
90,90
0,0
18262,972744
90,90
256,276
2046,5468
132,155
90,90
1633,1872
314,361
1126,2563
810,90
0,0
544,272
3032,2100
34939,1030401
512,356
1066,432
256,276
240,0
2049,6878
920,2011
578,641
480,0
240,0
312,0
1175,2027
922,2325
512,520
226000,161272
154151,124562
986,179
1284,2198
156,179
1375,2117
546,66
614,2011
662,0
1199,2028
32410,23411
9306,11865
1620,2688
1074,917
1272,1178
83861,60322
90,90
180,180
900,180
22976,973226
0,0
960,0
1553,2673
7704,967637
480,0
248,272
312,0
1052,594
0,0
19505,984667
480,0
1126,408
660,180
480,0
1153,1872
870,2287
692,579
314,338
680,90
240,0
23288,972898
512,552
480,0
0,0
1279,2327
24685,970270
668,4150
240,0
1184,2101
346,366
1117,2323
1456,2474
156,179
1711,2580
306,89
0,0
860,314
480,0
23264,974128
512,520
720,0
5573,976586
66,0
736,276
1138,1856
66,155
810,90
1447,2117
338,362
1094,2011
2760,2160
330,90
1109,1938
924,1007
0,46
1268,1922
10308,971810
668,4414
720,0
594,276
719,2051
1582,2283
758,798
90,90
1268,1922
126,131
1031,2028
1546,913
0,0
4820,14034
1924,2011
240,0
0,0
31718,1026309
0,0
256,276
2245,2004
66,89
420,180
1276,2128
66,89
1297,2669
810,90
0,0
560,548
1082,642
614,2011
869,1938
1040,4751
804,2198
66,89
992,552
314,338
1126,2563
1355,2207
150,132
1760,2102
546,89
1117,2210
1408,609
1334,2011
0,0
1285,2027
736,276
240,0
830,0
1268,1922
378,89
935,2050
546,89
3622,4443
480,0
660,180
768,828
695,2027
570,90
90,90
0,0
570,90
1181,2962
66,89
546,66
992,552
488,272
540,42
785,2117
492,180
992,552
222,156
5658,14306
570,90
0,0
590,0
480,0
0,0
846,276
480,0
66,66
0,0
720,0
0,0
760,824
702,156
0,0
304,272
3410,2927
0,0
240,0
660,180
256,276
536,964
992,486
0,0
66,66
788,314
240,0
642,90
1172,732
590,0
512,520
728,272
590,0
180,180
736,276
590,0
0,0
546,66
72,0
2512,2340
480,0
2760,2160
0,0
728,272
330,90
90,90
