totalrx,totaltx
> 1000,> 1000

totalrx,totaltx
145161,3488
636,224
66,134
1011962,41448
24948,981373
4386,134
6636,224
11754,302
1014927,31622
32458,982566
66,134
806,266
79700,11169
954390,1007354
656,150
660,772
91717,900293
1029607,169107
2706,150
9126,134
8046,134
10026,134
1035953,1011527
452,514
306,134
132,572
24948,983228
1011857,41302
362,1086
66,134
306,134
132,572
1037021,1028838
156,240
132,266
156,224
132,572
24534,984680
584,676
1012202,45071
2668,2018
10731,439081
14445,547788
66,134
1013417,40186
66,134
898120,44720
24894,986352
66,134
834,866
314,406
1011812,45343
132,572
24372,986743
66,134
1012831,39879
558,314
546,134
362,558
132,572
1037171,1015436
66,150
66,134
428,1868
24852,974791
1011789,31563
66,134
404,496
1012001,45000
24250,976706
656,200
396,224
66,134
1013293,30330
372,572
24718,982089
50480,35128
1011739,41050
66,134
132,266
312,752
1036527,1016173
66,150
66,134
66,134
1013017,28813
684,572
24124,974491
156,224
66,134
24768,978918
409694,20767
603047,28758
848,1248
24364,978350
1011960,41016
66,134
468,224
428,1860
806,266
2884,2630
1033961,1010909
1084,602
66,134
132,572
24870,984470
1077703,90122
66,134
314,406
25206,986523
156,290
66,134
1011879,43932
396,224
66,572
24508,986524
1012773,27965
306,134
156,224
132,572
24396,983230
306,134
1011762,46157
246,314
132,572
24438,987072
1012531,40772
306,134
952,698
456,266
222,662
24214,984578
656,224
1012144,34950
156,224
912,410
74352,1022360
1013047,43051
126,188
222,662
24214,983786
66,134
306,134
1012096,40882
546,134
66,134
534,662
24372,985782
66,134
1012601,36205
66,134
66,134
1012763,29942
132,572
24214,984349
404,496
138,134
306,134
1012793,44956
25323,986865
2015,2211
841,748
306,134
452,848
986,224
1039399,1032262
65202,45932
4846,2775
668,2560
900,1304
25122,986517
1011925,44837
314,406
66,134
132,572
24124,985268
378,134
246,314
1037499,1018047
66,150
66,134
66,134
66,134
222,662
23992,974623
1011956,45550
66,134
1376,356
132,572
24190,979078
904,406
1012831,45655
289,795
24829,980169
156,224
1012228,30508
49236,34696
24190,984430
3482,838
222,356
13026,134
8556,224
1013137,43391
34724,3440
30312,985486
306,134
372144,15240
660776,25920
66,134
156,224
372,572
24474,984924
66,134
1013055,44079
66,134
132,572
25056,984032
1012008,39690
66,134
27284,988558
66,134
156,224
156,224
1013455,31845
222,662
24950,986112
65202,45916
1011952,43361
156,224
834,866
396,224
132,662
1034059,1015625
306,150
518,3252
675944,20159
336829,7904
470,934
24420,977542
246,314
314,406
1012064,35334
66,134
24438,985032
66,134
1012591,29842
1144,406
222,662
24124,983324
986,134
3386,698
1008668,43197
656,134
156,224
132,572
1036079,1031245
49890,35276
156,224
404,496
1013215,41845
306,134
372,572
24214,980486
156,224
156,224
1011692,43034
378,134
222,662
24956,989016
164,134
66,134
24124,985849
1012461,45477
452,1060
192,308
656,134
1011950,28439
132,572
25276,986684
2810,2018
1012841,42491
836,314
612,572
24124,985610
66,134
1011712,42049
65202,45916
156,224
19405,860997
6197,126971
554,406
246,314
1012741,44335
66,134
66,134
1035013,1009579
378,150
66,134
306,134
156,224
132,572
1034042,1009161
546,150
644,4064
746,224
132,572
24124,984388
1013751,41070
362,1030
66,134
1013183,28169
156,224
372,572
24554,982752
1011774,36006
322,410
49814,35262
66,134
751920,1009230
285415,7308
66,134
132,572
24462,985611
1011719,42591
336,404
620,844
24502,984182
66,134
1012933,42567
156,224
66,134
132,572
24124,984523
1004,4326
91518,2600
920871,41135
11293,495359
14211,492171
66,134
1049349,61320
656,134
66,134
66,134
24668,987019
66,134
156,224
1077217,86393
66,134
156,336
990,1394
24438,986236
66,268
1012913,39748
132,572
24364,985117
554,406
1012027,36946
156,314
156,134
156,224
1011618,38112
24978,983946
66,134
836,314
103210,991319
932866,34747
746,224
66,134
734,4592
902,752
1036943,1025345
66,150
314,406
132,572
24372,986115
562,410
49890,35260
1012123,43905
380,844
24280,986582
156,224
306,134
1012843,38869
452,1260
24214,986071
306,134
378,134
1011785,31803
24438,984256
156,224
314,406
1013405,42566
25044,985999
396,224
156,224
1012305,41208
24774,983782
66,134
656,134
636481,1010449
402623,9596
156,337
702,662
24420,975434
66,134
1012843,31947
31338,22334
620,844
24462,978747
1012351,27988
66,134
66,134
1011788,39995
404,496
372,572
24214,980188
708,224
1012667,31473
452,1340
66,134
126,176
22263,937101
2855,46833
156,224
1012508,46241
404,496
24364,984460
156,224
656,134
132,572
55010,987039
981256,44315
66,134
542,1282
66,134
562,410
1095605,92427
24546,981886
156,224
306,134
66,134
24190,986894
66,134
1013033,34969
66,134
66,134
798,314
222,662
1036406,1025777
366,192
156,224
656,134
1011909,35029
24214,985000
1126,200
644,496
138,134
1012698,39807
24768,983862
2570,2108
156,134
66,134
1012865,31779
362,1398
22753,984898
1925,398
31338,22334
404,496
1011848,44530
1380,1304
24190,985216
156,224
66,134
1012717,43695
132,572
24124,985676
618,134
1011612,29608
156,224
66,134
1142,752
24438,986478
1012539,44650
656,134
66,134
404,496
1052,662
24214,985634
66,134
1012054,44788
156,224
24190,986806
246,314
66,134
428,2148
1036063,1026668
83844,58948
66,134
554,406
66,134
66,134
312,752
24372,985090
66,134
554,406
66,134
444,236
24730,987134
306,134
656,134
246,314
222,662
24648,985904
66,134
306,134
656,134
386,406
546,134
246,314
2660,2108
306,134
164,134
246,314
156,224
362,1430
66,134
31578,22334
66,134
1164,956
734,2216
66,134
546,134
246,314
554,406
66,134
66,134
438,176
66,134
66,134
1144,406
66,134
336,404
656,134
66,134
66,134
