totalrx,totaltx
> 1000,> 1000

totalrx,totaltx
3123,8528
132,236
378,134
3978,8376
521,344
66,134
66,134
66,134
7295,10399
21646,4362
5683,472
21186,134
18786,134
5346,134
16626,134
3268,13023
477,578
4626,134
18846,134
5466,134
83222,51236
66,134
2743,13439
1543950,30434
306,134
66,134
66,134
896,134
362,1014
2545,13307
1542441,35005
132,236
626,406
956,176
2669,10165
1543401,35083
132,236
66,134
314,406
66,134
66,134
2723,13076
314,406
2393,5320
2636,2120
2842,7708
221,302
66,134
66,134
3009,6843
42564,30314
66,134
66,134
2884,11048
469,574
66,134
656,134
306,134
2895,9704
722,236
2452,4759
221,302
1276,448
306,134
306,134
2277,10634
612,236
2514,3290
973,1090
66,134
306,134
66,134
3124,11048
757,710
2463,6957
132,236
322,410
2848,5459
403,472
306,134
73090,51508
66,134
66,134
2805,12000
1543404,34950
896,134
66,134
66,134
896,134
2607,11802
1542215,33799
656,134
438,176
362,1598
3062,12487
221,302
380,508
794,406
2529,6705
372,236
66,134
138,134
66,134
3200,9896
1578365,33411
66,134
306,134
66,134
362,566
66,134
44746,42750
461,302
1997,4152
132,236
656,134
314,406
2507,8165
970,508
66,134
306,134
656,134
2273,9195
744,278
66,134
2814,9411
3683,3108
66,134
66,134
684,2208
2488,9736
221,302
306,134
314,406
66,134
2488,9802
221,302
2649,5560
66,134
314,406
66,134
72842,51236
66,134
2409,10832
1542872,35836
66,134
66,134
66,134
3114,9802
155,302
314,508
964,448
2133,5789
2590,4861
155,200
66,134
66,134
2199,5855
66,134
66,134
2814,8763
469,574
138,134
66,134
526,2194
2570,2018
2273,9129
66,134
314,406
2418,8099
233,538
42250,29940
66,134
66,134
3041,7764
132,236
66,134
656,134
2682,9095
469,574
716,176
306,134
66,134
858,134
3184,13089
221,302
554,406
66,134
306,134
2929,12112
66,134
66,134
2956,5939
469,574
66,134
66,134
66,134
322,410
2677,13373
494,2658
27994,21500
46546,32772
66,134
904,406
66,134
2492,11241
811,302
6855,7074
132,236
964,448
66,134
66,134
66,134
2804,11241
469,574
66,134
66,134
66,134
2818,10982
517,898
66,134
2381,6193
444,236
66,134
66,134
2570,2018
66,134
2558,11439
469,574
1997,4152
27420,19226
14458,10296
656,134
2418,8099
517,2930
896,134
66,134
66,134
3171,9443
210,338
66,134
66,134
2418,8033
3038,4123
380,508
66,134
66,134
66,134
66,134
2744,9848
221,302
2133,5789
132,236
66,134
66,134
66,134
314,406
322,410
2624,11439
765,1222
38887,32736
37036,26186
656,134
66,134
66,134
3033,7426
372,236
2295,4801
904,472
428,3090
2133,5789
132,236
199,629
3104,6239
66,134
1997,4152
132,236
2348,6462
469,574
2245,4424
132,236
66,134
138,134
66,134
2273,9063
2636,2120
2310,4759
221,302
66,134
2133,5789
30900,21836
12560,8612
66,134
66,134
656,134
2492,11307
