totalrx,totaltx
> 1000,> 1000

totalrx,totaltx
2413,7237
222,326
529,548
3320,5658
222,326
2083,5835
812,326
66,134
54394,37902
656,134
2496,9501
709,574
126,176
2413,7147
132,236
3138,6150
245,290
66,134
246,314
2597,8734
2498,3163
623,392
66,134
362,490
66,134
66,134
2425,10878
2420,3253
855,1536
36996,26504
66,134
156,224
1234,496
2896,12048
2160,1898
896,134
246,314
66,134
61338,42932
3151,10600
2805614,69663
306,134
126,176
156,224
66,134
66,134
2763,15362
2594035,54020
237478,5660
66,134
494,586
378,134
66,134
2853,12306
2657,4794
372,236
66,134
66,134
452,612
66,134
2492,11226
2834113,67508
156,224
452,1420
656,134
246,314
156,224
904,406
57536,53658
2804061,63969
246,314
224,176
66,134
554,406
2713,12280
322,410
306,134
2356,6359
559,664
156,224
66,134
378,134
2289,9241
2348,3253
791,392
314,406
156,224
2461,5967
66,134
2570,2018
156,224
3194,10447
559,664
2253,4264
1042,1692
66,134
2512,6449
901,392
60658,42842
3205,7521
282,368
2286,4656
221,302
66,134
314,496
156,134
66,134
3007,10719
2277,5510
518,774
66,134
5972,10031
799,664
66,134
66,134
546,134
2810,9971
311,392
306,134
156,224
656,134
2463,9043
132,236
656,134
306,134
2606,8110
993,472
66,134
54682,38606
488,2014
156,224
156,224
2387,12407
2806390,67387
156,224
322,410
156,224
396,224
306,134
2917,12787
2830871,64664
378,134
156,224
66,134
362,614
2449,10836
312,416
2442,4632
469,574
3160,2018
156,224
314,406
656,134
2449,10968
66,134
2984,5602
469,574
156,224
60304,42524
758,802
156,224
2383,10836
2712283,62440
93752,2278
428,2230
66,134
636,224
66,134
494,586
3309,15362
132,236
2831249,74474
66,134
66,134
2735,9769
222,326
66,134
2356,6359
1149,664
452,732
306,134
66,134
2969,9331
2833547,74299
66,134
656,134
404,496
66,134
57167,49560
2804285,62214
156,224
156,224
164,134
246,314
2779,12214
2688,3373
469,574
66,134
396,224
998,2698
396,224
3118,12282
221,302
314,406
66,134
66,134
66,134
378,224
3532,12817
3221,2730
66,134
746,224
246,314
66,134
746,224
66,134
66,134
1958125,63406
908618,57844
1074,866
66,134
404,496
156,224
2383,10968
2831549,58186
312,416
66,134
306,134
246,314
362,674
2282,12685
533,302
2103,4420
156,224
518,3002
2669,6739
66,134
656,134
2487,6329
2262,4734
811,302
66,134
156,224
2979,5967
470,598
216,266
156,224
306,134
59566,49655
403,472
246,314
2413,7081
132,236
156,224
66,134
412,500
494,586
2896,12372
155,200
2499,4891
306,134
468,224
66,134
396,224
2675,9919
132,236
2786,4992
655,652
66,134
3522,5096
2219,7538
132,236
2436,4632
1299,574
156,224
216,266
156,224
2562,9699
60212,43797
1388,1240
246,314
306,134
66,134
2619,9331
306,134
66,134
2421,6335
486,314
396,224
2389,5901
2262,4668
1119,936
66,134
156,224
156,224
