totalrx,totaltx
> 1000,> 1000

totalrx,totaltx
30661,19947
2540,1650
41324,24587
330,90
1744,1072
388,709
480,0
480,0
590,0
480,0
1056,132
1142,0
3016,2436
2815434,2736944
1582,890
2791058,12101
66494,2702761
496,276
0,0
960,0
240,0
536,776
496,276
0,0
1008,828
5670602,5495884
496,276
0,0
1036,318
0,0
480,0
488,272
256,276
496,276
0,0
480,0
2855666,2738618
2861398,2754696
480,0
0,0
552,0
590,0
240,0
504,548
830,0
2867344,2814378
2854884,2744970
0,0
0,0
240,0
90,90
0,0
1048,1568
240,0
2877660,2760282
240,0
248,272
2869224,2809538
256,276
240,0
0,0
0,0
2787985,61149
87519,2697487
2888712,2815770
480,0
0,0
928,0
240,0
480,0
2833949,2753091
72,0
5860,28662
846,276
728,272
240,0
2879541,2826359
2881241,2764081
480,0
0,0
240,0
0,0
496,276
808,1836
720,0
496,276
564,590
2808391,189780
54418,2576549
240,0
2865489,2749497
976,276
488,272
256,276
2858668,1427142
32934,1343078
590,0
480,0
240,0
590,0
2868622,2753548
0,0
590,0
496,276
2845303,1352444
32134,1463407
1040,548
0,0
2843093,2760737
240,0
240,0
1024,1104
0,0
2832552,60215
73017,2781934
2847925,2775961
0,0
256,276
1338,1962
0,0
0,0
2883933,2768577
248,272
768,762
736,244
590,0
2825856,2758242
2878718,2796032
1078,272
240,0
864,0
0,0
3590,2160
736,276
0,0
256,276
2902724,2838938
496,276
2858588,2782634
240,0
248,272
240,0
736,276
512,552
240,0
2908476,2846558
256,276
752,552
240,0
602,1958
1417477,30955
1487958,2756708
240,0
744,548
2920798,2809320
590,0
0,0
480,0
830,0
728,272
792,0
590,0
2844175,60985
2949632,5617808
0,0
256,276
1024,272
240,0
240,0
240,0
2929418,2776310
1380,1244
2888150,2814842
60,42
0,0
480,0
0,0
256,276
628,342
2947519,2832787
362,2164
240,0
2954488,2835272
1008,828
2054,516
0,0
0,0
1070,0
240,0
0,0
2894427,2857675
2955967,2846733
2834,1974
976,276
0,0
256,276
480,0
256,276
0,0
2918721,2834853
0,0
240,0
2960879,2852559
752,552
0,0
976,276
256,276
2666799,58699
3254493,5716681
0,0
0,0
1098,2770
0,0
846,276
480,0
2915754,2843446
1070,0
0,0
2974494,2858784
1622,0
0,0
248,272
480,0
2624151,57499
287011,2785847
976,276
2984067,2867379
300,0
660,0
0,0
240,0
2974688,2853502
240,0
248,272
2994075,2924671
240,0
0,0
736,276
2948065,2865729
0,0
480,0
362,2754
1070,0
1322,902
30809,23155
1247433,27715
4727642,5801619
0,0
962,483
1032,0
72,0
488,272
3240,2160
496,276
240,0
976,276
2937942,2865552
496,276
3000983,2936499
300,42
240,0
480,0
256,276
2998026,2875566
480,0
3011578,2885736
256,276
1248,828
0,0
240,0
2955465,2875533
0,0
952,3038
2942606,64577
536388,3156977
